ID	REND	HESTUDIO	MOT	SEXO	SELEC	STUAULA	GASTO
292	9.1	97	NA	0	8.4	10.6	2.9975
293	5.9	13	NA	0	8	15.4	NA
294	7.1	84	80	0	8	13.2	2.985
295	7.4	19	NA	0	7.1	9.6	NA
296	5.4	NA	52	0	7.8	12.9	1.875
297	6.8	NA	93	0	8	15.3	2.276
298	4.6	NA	19	0	7.8	11.5	1.545
299	6.5	NA	NA	0	7.4	12.7	NA
300	4.9	29	34	1	9.7	20.6	NA
301	5.7	NA	NA	1	10.1	18.2	NA
302	5.7	NA	67	1	9.4	20.6	NA
303	7.9	82	80	0	7.8	12	2.35
304	7.1	57	67	1	10.7	14	1.867
305	6.5	92	93	1	8.9	17	1.989
306	5.1	NA	19	1	8.3	19.9	2.093
307	5.1	NA	NA	1	9.3	22	NA
308	5.1	NA	NA	0	7.7	16	1.75
309	4	NA	19	1	8.5	18.2	NA
310	4.7	NA	34	0	7.2	7.2	1.94
311	4.9	NA	34	0	7.2	15.4	1.775
312	6.3	NA	80	1	8.8	18	NA
313	6.4	NA	NA	1	8.3	17.7	NA
314	5.5	NA	67	1	9.9	24.7	2.05
315	5.8	76	52	0	7.5	12.8	NA
316	9.1	NA	NA	0	8.2	10.4	1.9785
317	7.2	68	67	0	8.2	13.1	2.1105
318	7.7	48	52	0	7.2	11.5	2.22
319	6.9	34	80	0	8.7	13.4	1.5825
320	8	89	89	0	8.5	12.5	NA
321	7.7	NA	NA	0	8.1	11.9	2.386
322	NA	45	52	0	7.9	14.5	1.5015
323	5.8	NA	NA	1	9.6	18.9	1.3125
324	7.8	NA	34	0	7.9	18.8	1.8
325	5.8	47	52	1	9.2	20.2	NA
326	6.6	NA	10	0	5.9	11.3	1.045
327	5.8	NA	NA	1	8.1	17.1	NA
328	4.1	NA	NA	1	9.4	15.4	1.223
329	6.3	NA	67	1	7.9	15.8	NA
330	4.9	NA	1	0	7.6	19.6	1.024
331	5.3	NA	NA	0	7.7	14.5	NA
332	5	NA	34	1	9.3	19.7	1.644
333	5.1	NA	52	0	7.6	14.1	NA
334	6.7	NA	89	0	7.7	13.2	1.7615
335	6.2	NA	NA	0	6.8	21.5	NA
336	5.8	36	67	0	7.2	9.4	NA
337	NA	NA	5	1	8.5	14.4	1.364
338	10	22	52	0	7.9	24.1	2.4
339	2.7	5	5	0	7.8	17.4	2.525
340	4	NA	10	1	8.7	19	1.3055
341	7.6	NA	93	1	9.4	15.7	NA
342	5.4	NA	NA	1	9.1	21.7	NA
343	4.9	NA	NA	0	6.2	18.4	NA
344	7.9	NA	NA	0	7.8	10.7	NA
345	8.7	NA	34	0	7.8	14.3	NA
346	4.5	NA	NA	1	9.2	17.1	1.77
347	7.1	NA	67	0	8.5	15.9	1.25
348	6.7	NA	NA	0	8.9	4.6	2.365
349	5.9	30	34	0	7.3	10.9	2.6
350	5.8	82	89	1	10	12.7	NA
351	4.4	NA	80	1	8.5	11.6	1.8425
352	4.8	NA	NA	1	8.2	13.4	NA
353	9	NA	NA	0	9.1	3.9	2.8875
354	6.2	64	80	0	7.2	12.5	2.025
355	5.9	81	80	0	7.8	11.2	1.485
356	5.8	47	67	0	7.6	14.1	NA
357	NA	NA	NA	0	7.6	11.8	.94
358	4	NA	NA	1	8.4	18.5	1.65
359	7.4	80	52	1	7.8	16.4	1.7
360	3.7	51	67	1	9.5	17.6	NA
361	NA	NA	NA	1	8.4	10.6	NA
362	8	NA	34	1	8.3	25	1.334
363	4.7	NA	NA	0	6.7	8.9	NA
364	8	NA	NA	0	7.5	11.1	NA
365	5.4	NA	52	0	7.2	12.6	1.661
366	6	NA	67	0	7.5	15.1	1.5
367	5.2	NA	67	0	7.6	13	1.636
368	5.6	NA	NA	0	7.6	14.5	1.485
369	1.9	NA	NA	1	9.5	19.7	NA
370	NA	NA	67	0	7.9	13.5	NA
371	4.4	NA	19	1	8.1	20.1	1.312
372	4.8	NA	NA	0	7.1	8.5	1.345
373	5.2	NA	19	1	8.6	20.3	1.33
374	5.4	37	52	1	9.3	15.4	2.28
375	3.7	31	34	1	9.4	14.8	2.476
376	7.2	25	19	0	7.3	12.9	2.6975
377	9.8	98	NA	0	9	4.7	3.035
378	5.1	11	NA	0	8.1	17.6	2.315
379	7.6	9	NA	0	7.7	38.4	2.37
380	3.3	9	NA	0	6.7	12.1	2.45
381	8.1	NA	NA	0	6.9	12.2	NA
382	9.7	61	NA	0	8.2	14.5	NA
383	3.8	NA	NA	0	7.6	14.4	NA
384	5.5	36	NA	0	7.4	13.9	NA
385	5.1	59	NA	1	8.5	22.1	NA
386	NA	17	NA	0	7	11.2	NA
387	2.6	14	NA	1	8.5	14.9	2.4
388	7.2	82	NA	1	8.2	13.5	2.688
389	4	24	NA	1	9	17.2	1.92
390	9.9	99	NA	0	9.1	8.4	2.955
391	7	44	NA	0	8.6	12.3	NA
392	5.8	59	NA	1	8.2	17.4	2.374
393	6.4	42	NA	0	8.9	14.4	3.242
394	5.3	6	NA	0	8.3	12.1	2.76
395	4.3	7	NA	0	8.1	14	NA
396	8	52	34	0	7.2	14	2.069
397	2	17	10	0	5.3	14.3	1.691
398	2.8	NA	2	1	8	17.4	1.19
399	3.4	NA	93	1	7.5	13.7	NA
400	4	NA	52	1	9.4	19.6	1.584
401	4.7	NA	2	1	8.2	15.5	1.13
402	4.2	14	5	0	8	12.4	NA
403	7.9	NA	NA	0	7.7	10.4	NA
404	11.8	4	10	0	8.3	14.3	2.42
405	4.3	36	NA	1	9.2	15.6	NA
406	3.4	28	NA	1	9.1	12.8	NA
407	4.6	33	NA	1	9.5	12.5	NA
408	7.7	91	NA	0	8.3	15.8	2.79
409	NA	12	NA	0	7	37.5	NA
410	6.4	NA	NA	0	7.5	14.3	NA
411	9.1	96	NA	0	8.3	10.3	4.062
412	5.3	31	NA	0	6.6	9.5	2.165
413	5.4	NA	NA	0	6.7	12.7	NA
414	8	77	NA	0	8.8	14.4	NA
415	9.1	91	NA	0	8.1	9.6	2.525
416	7.9	NA	NA	0	8.2	12.1	2.9205
417	6.7	77	80	0	7.7	15	1.775
418	NA	2	5	0	6.7	14.3	2.155
419	6.6	21	10	0	8.8	16	NA
420	NA	33	89	0	6	7	1.96
421	7.9	67	NA	0	8.3	13.6	NA
422	7	72	NA	0	7.4	11.3	3.275
423	6.9	60	89	0	8.7	17.6	2.9625
424	7.7	36	NA	0	6.8	10.3	NA
425	NA	NA	NA	0	8.7	13.8	NA
426	8.8	30	10	0	7.5	15.3	NA
427	6.1	74	80	0	7.6	13.6	NA
428	7.1	93	NA	0	9.8	7.8	NA
429	6.2	50	NA	0	9.3	13.8	2.38
430	6.2	89	NA	0	7.7	10.4	NA
431	5.8	47	NA	0	7.7	10.8	3.37
432	7	NA	97	0	8.8	15.4	NA
433	4.6	53	34	0	7.4	13.4	1.773
434	6.8	83	93	0	9.2	10.8	2.835
435	NA	26	NA	0	7.6	23.8	NA
436	6.4	58	52	0	7.9	8.2	NA
437	8.3	93	NA	0	7.6	6.1	3.347
438	8.1	87	89	0	8.4	12.7	2.8425
439	7.8	69	89	0	7.9	17.7	2.4635
440	4.5	NA	NA	0	8	19.3	NA
441	6.6	60	52	0	7.9	14.5	2.8
442	6.5	41	NA	0	9.8	29.3	NA
443	7.4	36	10	0	7.4	13.6	NA
444	8.5	85	NA	0	8.2	11.5	2.865
445	6.7	11	NA	0	7.4	16.1	NA
446	7.4	86	NA	1	9.5	17.4	2.1775
447	4.9	49	52	1	8.8	19	2.23
448	4.2	21	NA	1	8.9	18.7	2.02
449	6.6	62	67	1	8.7	16.3	2.21
450	7.6	93	93	1	9	19.1	2.085
451	5.3	70	80	1	8.5	15.3	2.12
452	6	55	52	1	8.8	17.1	2.476
453	6.5	56	52	1	8.7	17.9	2.088
454	6.7	NA	NA	0	9.8	11.3	3.435
455	6.5	42	97	0	7.5	12.3	NA
456	9.5	95	97	1	9.1	8.8	NA
457	8	NA	NA	0	9.1	5.9	3.291
458	9	96	96	0	8.5	9.7	NA
459	7.5	60	NA	0	8	13.2	NA
460	6.9	84	80	0	6.9	8.3	NA
461	7	60	52	1	9.6	18.3	1.27
462	6.7	14	NA	0	7.4	13.7	1.72
463	6.3	35	NA	0	8.5	21.8	NA
464	5.5	35	NA	0	7.7	13.5	NA
465	9.4	97	98	0	8.1	12	2.535
466	9.7	98	99	0	9.4	5	2.975
467	5.1	NA	NA	1	8	14.1	1.324
468	2.4	9	NA	1	8.1	15.1	1.275
469	2.9	16	10	0	7.8	15.2	2.135
470	6.5	73	80	0	7.8	15.6	2.58
471	6.2	24	NA	0	7.8	17.8	2.025
472	6.6	38	34	0	7.6	12	2
473	6.9	17	19	0	8	11.9	1.775
474	8.2	NA	NA	0	7.9	13.9	NA
475	5.6	NA	NA	0	7.7	11.4	1.775
476	1.5	22	19	0	6.6	11.1	1.686
477	5.2	11	19	0	7.3	12.7	2.115
478	4.8	10	NA	1	8.1	15	1.38
479	5.8	66	93	0	7	14	2.485
480	6	65	80	0	6.9	11.2	3.15
481	6.9	NA	NA	0	8.4	14.4	.869
482	5.6	8	NA	0	8.1	14	1.6
483	6.2	39	34	1	9.5	16.8	NA
484	5.3	49	NA	1	9.3	15.5	1.7525
485	8.9	NA	NA	0	8.8	4.3	NA
486	6.3	NA	NA	0	6.7	11.4	NA
487	5.5	42	34	1	9.3	19.1	1.84
488	4.6	3	NA	0	8	13.5	1.381
489	4.6	NA	34	1	7.8	16.5	1.073
490	4.8	NA	34	0	7.8	18	1.4275
491	5.1	NA	19	1	7	15.7	NA
492	4.9	64	67	1	9.4	15.9	1.3515
493	5.8	55	67	0	7.3	13.3	1.995
494	6.7	45	52	1	10	21.1	1.676
495	8.3	NA	67	0	8.1	12.1	NA
496	6.4	68	80	0	8.4	15.3	2.205
497	NA	NA	NA	1	8.6	21.1	NA
498	3.5	17	19	1	9.2	18.5	NA
499	10	37	34	0	7.5	11.1	2.215
500	6.9	88	80	0	8.3	11.1	2.345
501	5.6	10	34	0	7.2	12.8	NA
502	8.1	NA	NA	0	8.3	11.6	2.36
503	6.5	37	52	0	7.5	12.5	2.205
504	7.9	78	80	0	7.5	10.6	NA
505	9.6	NA	NA	0	7.8	13.2	1.96
506	8.1	NA	67	0	8.1	16.7	1.765
507	7.3	39	52	0	7.9	13.4	1.957
508	NA	14	10	0	5.7	8.7	NA
509	8.3	96	98	0	8.5	10.1	2.91
510	8.3	67	80	0	8.5	14.5	2.04
511	6.4	61	80	1	10.1	20.4	2.0475
512	3.9	1	10	0	7.5	19	1.9
513	4.3	24	19	1	10.1	16.7	1.922
514	9.3	85	89	0	9.3	14.8	2.11
515	NA	NA	10	0	6.9	15	2.07
516	6.7	NA	NA	0	7.4	13.3	NA
517	7.8	88	89	0	8.4	12.8	2.202
518	8.3	62	80	0	8.5	13.3	2.48
519	5	NA	19	1	9.6	18	NA
520	3.6	NA	10	0	9.1	19.9	NA
521	NA	22	52	0	6.4	8.4	1.45
522	NA	NA	19	1	8.3	18.5	NA
523	NA	NA	NA	0	8	41.7	1.29
524	2.5	NA	34	1	NA	20.2	NA
525	4.5	37	52	0	7.9	16.2	1.575
526	4	74	67	0	7.6	14.6	NA
527	2.9	NA	19	1	7.5	18.1	.9
528	3.9	25	52	0	7.2	11.6	NA
529	5.3	NA	19	1	8.1	19.6	NA
530	NA	NA	19	1	8.8	NA	NA
531	4.4	NA	80	1	9.7	11.5	NA
532	4.7	88	80	0	8.5	11.5	NA
533	4.1	30	10	0	6.4	14.3	NA
534	NA	NA	NA	1	7.9	11.9	NA
535	5.2	51	NA	0	7.7	13.5	2.065
536	6.9	NA	NA	0	8.2	12.3	2.395
537	4.5	53	52	1	9.4	13.9	1.722
538	4.1	31	NA	1	7.6	14.7	NA
539	4.2	71	80	0	7.7	10.9	1.997
540	6.8	97	97	0	7.8	11.8	2.745
541	7.2	64	NA	0	8	13.2	2.05
542	6.8	88	89	0	8	13.3	NA
543	8	72	80	0	7.4	11.3	2.2
544	7.6	NA	NA	0	8.2	9.9	2.22
545	7.3	53	NA	0	7.9	12.2	NA
546	7.1	19	NA	0	7.4	16.5	NA
547	7.4	51	34	0	7.3	11.7	NA
548	5.2	55	52	0	6.5	9.3	2.615
549	7.3	54	NA	0	6.8	8.3	NA
550	6.5	35	NA	0	8.1	19.3	2.265
551	5.4	41	67	0	7.1	13.6	2.4
552	8.6	88	93	0	8.2	10.9	NA
553	6.5	57	67	0	8.5	13.3	2.14
554	8.3	NA	NA	0	8.4	12.1	2.164
555	9.6	54	NA	0	6.6	7.8	NA
556	7.4	NA	NA	0	7.1	11.2	NA
557	6.9	17	NA	0	6.6	11.2	NA
558	6.3	44	NA	1	9.4	20.6	1.453
559	8	82	NA	0	7.7	12.7	2.23
560	9.1	NA	NA	0	9	12.5	2.79
561	4.5	3	NA	1	7.8	12.6	1.7
562	7.2	45	34	0	7.9	14	2.15
563	6.6	36	NA	0	7.8	11.8	2.25
564	7.8	NA	NA	0	8	16.7	NA
565	7.4	NA	NA	0	7.7	15.2	2.365
566	6.8	NA	NA	0	7.1	10.9	NA
567	8.3	83	80	0	8.1	12.8	2.2825
568	6.3	69	19	0	8.2	12.6	NA
569	7.5	59	NA	1	8.9	18	1.474
570	5.8	6	NA	1	8.9	16.3	NA
571	NA	NA	NA	1	7.7	13	1.67
572	5.4	NA	NA	1	9.2	19	1.825
573	5.6	NA	NA	1	9.1	16.9	1.628
574	6.8	41	NA	0	8.1	12.9	2.531
575	6.6	15	34	0	7.3	14.5	NA
576	7.1	NA	NA	0	7.3	11.2	2.09
577	6.9	NA	NA	0	7.6	19.3	NA
578	8.3	77	NA	0	8.7	17.4	NA
579	8.8	NA	NA	0	7.6	12.3	1.968
580	9	NA	NA	0	8.1	13.9	2.355
581	9.5	98	NA	0	8	8.8	3.292
582	4.5	51	NA	1	9.8	11.2	2.641
583	6	20	19	0	7.5	11.6	2.479
